"GPI_COUNTRY","GPI_CONTINENT","GPI_CNT_PLAYER_ID","GPI_AVG_GDP_PER_CAPITA","GPI_AVG_POPULATION","GPI_AVG_POPULATION_AGED_15TO29","GPI_CNT_PLAYERS_ON_1MIL_POP","GPI_AVG_SHARE_OF_INDIVIDUALS_USING_INTERNET"
"Saudi Arabia","Asia",161,42893.363,28149459.76,7548345.08,5.71947,42.464244199
"Cote dIvoire","Africa",1,4043.60652,20951334.88,5871343.2,0.04773,9.277345325
"Afghanistan","Asia",4,1790.624035,28050767.6,7710475.2,0.142599,6.186940067
"Tajikistan","Asia",1,2343.407028,7635529.48,2204982.48,0.130967,8.654678554
"Trinidad and Tobago","North America",1,23645.64848,1410115.44,359904.64,0.709162,36.43778389
"Saint Kitts and Nevis","North America",1,24111.29624,46859.16,11828.52,21.340545,41.398478571
"France","Europe",2869,41979.3178,61703269.12,11452636.76,46.496726,57.60641832
"China","Asia",2761,8807.084824,1339243260,312818702.24,2.061612,29.711310276
"Norway","Europe",660,61144.3998,4872849.44,942040.32,135.444365,80.62396616
"Philippines","Asia",494,6028.515464,93100084.96,25433074.76,5.306118,19.198608161
"Ukraine","Europe",551,11082.750004,46350076.56,9583226.68,11.887791,24.918207667
"Brazil","South America",1677,13536.90612,193531857.6,50954501.6,8.66524,35.796494707
"Colombia","South America",86,11800.22568,44251854,11845255.28,1.943421,30.775762212
"Azerbaijan","Asia",57,10403.790684,9150225.6,2416850.56,6.229355,39.207159122
"Egypt","Africa",49,9094.8902,86830775.6,23976504.84,0.564316,22.423777639
"Mongolia","Asia",43,7970.751732,2754021.88,782459.48,15.613529,20.227333411
"Dominican Republic","North America",52,12586.76596,9653154.04,2657272.68,5.38684,31.08796461
"Bahrain","Asia",14,47127.4576,1095870.68,301435.08,12.77523,54.605041608
"Qatar","Asia",12,93934.834590909,1595084.08,471536.32,7.523114,51.184709208
"Guatemala","North America",4,7386.35138,14277254.2,4199646.08,0.280166,16.94295289
"Latvia","Europe",109,22044.03808,2149250.4,422760.92,50.715356,54.0458332
"Italy","Europe",625,42324.79516,58829421.12,9785426.52,10.623936,44.685256256
"Lebanon","Asia",37,15606.20986,5108452.24,1350504.16,7.242898,38.301948796
