NameFirst,NameLast,CurrentHandle,CountryCode,WorldRanking,CountryRanking,TotalUSDPrize,TotalTournaments,PlayerId,ErrorCode,Error
Min Chul,Jang,MC,kr,410,42,527352.06,118,1000,,
Jae Duk,Lim,NesTea,kr,943,108,288225.07,57,1001,,
Jong Hyun,Jung,Mvp,kr,559,58,419621.15,70,1002,,
