PlayerId,NameFirst,NameLast,CurrentHandle,CountryCode,TotalUSDPrize,GameId,NumOfPlayer,Error
1694,Justin,Wong,JWong,us,0.00,253,1,
1695,Keita,Ai,Fuudo,jp,0.00,253,2,
1705,Hajime,Taniguchi,Tokido,jp,0.00,253,3,
2838,Bruce,Hsiang,GamerBee,tw,0.00,253,4,
