GameId,TournamentName,StartDate,EndDate,Location,Teamplay,TotalUSDPrize,tournamentid,ErrorCode,Error
151,GSL January 2011 (Code S),2011-01-02,2011-01-29,"Seoul, South Korea",0,118364.41,1000,,
151,GSL January 2011 (Code A),2011-01-02,2011-01-29,"Seoul, South Korea",0,11567.43,1001,,
151,GSL March 2011 (Code S),2011-02-21,2011-03-19,"Seoul, South Korea",0,116046.45,1002,,
