Url,DateOfBirth,Error
https://www.esportsearnings.com/players/2001-beam-iisakki-ahonen,"February 25, 1988",
https://www.esportsearnings.com/players/2005-smiley1983-zhang-zhe,"July 22, 1983",
https://www.esportsearnings.com/players/3304-n0tail-johan-sundstein,"October 8, 1993",
https://www.esportsearnings.com/players/14671-miracle-amer-al-barkawi,"June 20, 1997",
